Date,Total Renewable Energy Production
1973-01-31,0.403981
1973-02-28,0.3609
1973-03-31,0.400161
1973-04-30,0.38047
1973-05-31,0.392141
1973-06-30,0.377232
1973-07-31,0.367325
1973-08-31,0.353757
1973-09-30,0.307006
1973-10-31,0.323453
1973-11-30,0.337817
1973-12-31,0.406694
1974-01-31,0.437467
1974-02-28,0.399942
1974-03-31,0.423474
1974-04-30,0.422323
1974-05-31,0.427657
1974-06-30,0.409281
1974-07-31,0.409719
1974-08-31,0.386101
1974-09-30,0.35391
1974-10-31,0.343703
1974-11-30,0.351633
1974-12-31,0.376642
1975-01-31,0.392756
1975-02-28,0.368278
1975-03-31,0.42349
1975-04-30,0.405368
1975-05-31,0.421283
1975-06-30,0.411622
1975-07-31,0.398459
1975-08-31,0.36823
1975-09-30,0.341957
1975-10-31,0.368786
1975-11-30,0.383196
1975-12-31,0.403696
1976-01-31,0.421775
1976-02-29,0.396173
1976-03-31,0.427044
1976-04-30,0.396931
1976-05-31,0.415728
1976-06-30,0.411555
1976-07-31,0.421425
1976-08-31,0.398129
1976-09-30,0.356984
1976-10-31,0.369186
1976-11-30,0.351386
1976-12-31,0.360834
1977-01-31,0.378521
1977-02-28,0.304328
1977-03-31,0.368966
1977-04-30,0.351301
1977-05-31,0.356923
1977-06-30,0.336485
1977-07-31,0.336903
1977-08-31,0.335881
1977-09-30,0.328075
1977-10-31,0.341368
1977-11-30,0.370168
1977-12-31,0.400048
1978-01-31,0.438983
1978-02-28,0.391866
1978-03-31,0.433459
1978-04-30,0.434379
1978-05-31,0.475883
1978-06-30,0.432628
1978-07-31,0.431461
1978-08-31,0.408417
1978-09-30,0.392287
1978-10-31,0.379436
1978-11-30,0.379078
1978-12-31,0.407564
1979-01-31,0.447796
1979-02-28,0.390487
1979-03-31,0.457799
1979-04-30,0.445932
1979-05-31,0.48908
1979-06-30,0.441683
1979-07-31,0.424513
1979-08-31,0.40921
1979-09-30,0.378903
1979-10-31,0.397602
1979-11-30,0.41474
1979-12-31,0.425109
1980-01-31,0.478943
1980-02-29,0.424298
1980-03-31,0.469134
1980-04-30,0.477356
1980-05-31,0.517456
1980-06-30,0.497768
1980-07-31,0.471331
1980-08-31,0.429358
1980-09-30,0.401712
1980-10-31,0.402564
1980-11-30,0.409876
1980-12-31,0.448546
1981-01-31,0.462381
1981-02-28,0.427043
1981-03-31,0.443808
1981-04-30,0.43802
1981-05-31,0.480423
1981-06-30,0.496995
1981-07-31,0.491304
1981-08-31,0.454028
1981-09-30,0.40722
1981-10-31,0.416966
1981-11-30,0.418476
1981-12-31,0.477024
1982-01-31,0.51444
1982-02-28,0.489624
1982-03-31,0.544724
1982-04-30,0.517128
1982-05-31,0.525795
1982-06-30,0.518974
1982-07-31,0.519267
1982-08-31,0.483203
1982-09-30,0.433748
1982-10-31,0.439874
1982-11-30,0.46993
1982-12-31,0.52293
1983-01-31,0.562279
1983-02-28,0.523276
1983-03-31,0.572853
1983-04-30,0.561458
1983-05-31,0.581741
1983-06-30,0.569493
1983-07-31,0.550993
1983-08-31,0.528288
1983-09-30,0.476173
1983-10-31,0.474251
1983-11-30,0.507035
1983-12-31,0.587773
1984-01-31,0.570081
1984-02-29,0.535239
1984-03-31,0.57904
1984-04-30,0.566019
1984-05-31,0.593504
1984-06-30,0.553321
1984-07-31,0.547618
1984-08-31,0.524053
1984-09-30,0.47091
1984-10-31,0.47962
1984-11-30,0.48611
1984-12-31,0.532347
1985-01-31,0.555205
1985-02-28,0.511838
1985-03-31,0.525002
1985-04-30,0.512937
1985-05-31,0.542968
1985-06-30,0.50733
1985-07-31,0.489577
1985-08-31,0.475912
1985-09-30,0.454274
1985-10-31,0.475406
1985-11-30,0.499606
1985-12-31,0.53396
1986-01-31,0.486064
1986-02-28,0.479122
1986-03-31,0.558538
1986-04-30,0.539897
1986-05-31,0.545072
1986-06-30,0.527412
1986-07-31,0.513292
1986-08-31,0.482847
1986-09-30,0.472114
1986-10-31,0.482113
1986-11-30,0.492321
1986-12-31,0.532346
1987-01-31,0.521265
1987-02-28,0.452878
1987-03-31,0.498782
1987-04-30,0.477656
1987-05-31,0.509032
1987-06-30,0.466873
1987-07-31,0.467691
1987-08-31,0.448986
1987-09-30,0.437201
1987-10-31,0.442655
1987-11-30,0.423208
1987-12-31,0.47558
1988-01-31,0.495132
1988-02-29,0.446663
1988-03-31,0.469098
1988-04-30,0.455993
1988-05-31,0.486212
1988-06-30,0.453891
1988-07-31,0.442602
1988-08-31,0.437214
1988-09-30,0.426312
1988-10-31,0.422602
1988-11-30,0.448903
1988-12-31,0.472132
1989-01-31,0.509148
1989-02-28,0.461436
1989-03-31,0.532717
1989-04-30,0.530099
1989-05-31,0.562702
1989-06-30,0.546138
1989-07-31,0.525099
1989-08-31,0.513156
1989-09-30,0.487951
1989-10-31,0.511061
1989-11-30,0.521326
1989-12-31,0.533842
1990-01-31,0.511273
1990-02-28,0.508362
1990-03-31,0.567936
1990-04-30,0.530432
1990-05-31,0.525675
1990-06-30,0.503364
1990-07-31,0.499497
1990-08-31,0.497457
1990-09-30,0.447351
1990-10-31,0.460201
1990-11-30,0.459567
1990-12-31,0.528928
1991-01-31,0.569478
1991-02-28,0.465118
1991-03-31,0.51911
1991-04-30,0.492914
1991-05-31,0.540591
1991-06-30,0.51364
1991-07-31,0.499537
1991-08-31,0.512231
1991-09-30,0.491724
1991-10-31,0.467137
1991-11-30,0.467744
1991-12-31,0.528582
1992-01-31,0.535607
1992-02-29,0.449195
1992-03-31,0.482785
1992-04-30,0.445956
1992-05-31,0.45524
1992-06-30,0.497883
1992-07-31,0.486979
1992-08-31,0.491443
1992-09-30,0.458264
1992-10-31,0.472681
1992-11-30,0.498632
1992-12-31,0.545914
1993-01-31,0.564645
1993-02-28,0.477338
1993-03-31,0.543315
1993-04-30,0.527479
1993-05-31,0.537105
1993-06-30,0.50669
1993-07-31,0.491687
1993-08-31,0.502293
1993-09-30,0.461702
1993-10-31,0.468762
1993-11-30,0.482151
1993-12-31,0.518768
1994-01-31,0.546056
1994-02-28,0.474599
1994-03-31,0.530494
1994-04-30,0.515827
1994-05-31,0.49455
1994-06-30,0.497434
1994-07-31,0.5383
1994-08-31,0.484336
1994-09-30,0.433627
1994-10-31,0.476303
1994-11-30,0.482932
1994-12-31,0.512713
1995-01-31,0.516507
1995-02-28,0.478624
1995-03-31,0.55041
1995-04-30,0.536529
1995-05-31,0.533624
1995-06-30,0.560149
1995-07-31,0.60128
1995-08-31,0.582286
1995-09-30,0.499496
1995-10-31,0.558499
1995-11-30,0.55429
1995-12-31,0.585646
1996-01-31,0.606654
1996-02-29,0.571306
1996-03-31,0.627928
1996-04-30,0.556072
1996-05-31,0.594909
1996-06-30,0.607621
1996-07-31,0.6101
1996-08-31,0.594881
1996-09-30,0.513262
1996-10-31,0.568747
1996-11-30,0.56131
1996-12-31,0.598136
1997-01-31,0.6298
1997-02-28,0.563287
1997-03-31,0.628991
1997-04-30,0.60378
1997-05-31,0.642251
1997-06-30,0.607807
1997-07-31,0.611218
1997-08-31,0.566988
1997-09-30,0.513216
1997-10-31,0.581276
1997-11-30,0.526469
1997-12-31,0.54177
1998-01-31,0.591527
1998-02-28,0.534596
1998-03-31,0.585349
1998-04-30,0.550089
1998-05-31,0.606598
1998-06-30,0.538497
1998-07-31,0.566004
1998-08-31,0.537293
1998-09-30,0.487115
1998-10-31,0.485982
1998-11-30,0.45609
1998-12-31,0.553643
1999-01-31,0.596141
1999-02-28,0.533209
1999-03-31,0.564568
1999-04-30,0.55166
1999-05-31,0.610259
1999-06-30,0.571957
1999-07-31,0.593688
1999-08-31,0.547081
1999-09-30,0.482169
1999-10-31,0.456721
1999-11-30,0.492909
1999-12-31,0.515281
2000-01-31,0.505154
2000-02-29,0.499963
2000-03-31,0.55801
2000-04-30,0.56853
2000-05-31,0.55873
2000-06-30,0.50912
2000-07-31,0.526269
2000-08-31,0.503692
2000-09-30,0.443382
2000-10-31,0.46822
2000-11-30,0.482871
2000-12-31,0.477789
2001-01-31,0.444974
2001-02-28,0.404073
2001-03-31,0.455786
2001-04-30,0.425372
2001-05-31,0.435524
2001-06-30,0.454623
2001-07-31,0.436074
2001-08-31,0.44791
2001-09-30,0.396476
2001-10-31,0.409925
2001-11-30,0.401777
2001-12-31,0.449333
2002-01-31,0.476548
2002-02-28,0.428362
2002-03-31,0.459471
2002-04-30,0.488519
2002-05-31,0.527657
2002-06-30,0.53358
2002-07-31,0.525255
2002-08-31,0.46967
2002-09-30,0.431903
2002-10-31,0.44546
2002-11-30,0.45586
2002-12-31,0.488703
2003-01-31,0.470095
2003-02-28,0.437341
2003-03-31,0.508215
2003-04-30,0.509649
2003-05-31,0.557622
2003-06-30,0.549092
2003-07-31,0.524624
2003-08-31,0.50153
2003-09-30,0.447121
2003-10-31,0.451931
2003-11-30,0.460818
2003-12-31,0.524532
2004-01-31,0.514261
2004-02-29,0.474103
2004-03-31,0.510702
2004-04-30,0.488758
2004-05-31,0.522609
2004-06-30,0.531796
2004-07-31,0.523871
2004-08-31,0.502493
2004-09-30,0.479402
2004-10-31,0.472897
2004-11-30,0.484754
2004-12-31,0.557149
2005-01-31,0.537045
2005-02-28,0.489404
2005-03-31,0.524509
2005-04-30,0.514356
2005-05-31,0.567482
2005-06-30,0.559572
2005-07-31,0.561855
2005-08-31,0.514673
2005-09-30,0.464185
2005-10-31,0.47583
2005-11-30,0.484914
2005-12-31,0.527174
2006-01-31,0.590899
2006-02-28,0.529246
2006-03-31,0.55318
2006-04-30,0.577843
2006-05-31,0.611368
2006-06-30,0.598607
2006-07-31,0.568581
2006-08-31,0.531475
2006-09-30,0.478101
2006-10-31,0.489377
2006-11-30,0.515816
2006-12-31,0.542022
2007-01-31,0.592181
2007-02-28,0.488023
2007-03-31,0.574791
2007-04-30,0.566548
2007-05-31,0.594245
2007-06-30,0.555788
2007-07-31,0.562071
2007-08-31,0.542083
2007-09-30,0.483353
2007-10-31,0.500628
2007-11-30,0.503204
2007-12-31,0.547833
2008-01-31,0.597581
2008-02-29,0.54223
2008-03-31,0.604443
2008-04-30,0.607253
2008-05-31,0.668828
2008-06-30,0.67552
2008-07-31,0.646308
2008-08-31,0.599263
2008-09-30,0.531982
2008-10-31,0.55218
2008-11-30,0.551779
2008-12-31,0.614791
2009-01-31,0.626716
2009-02-28,0.54527
2009-03-31,0.625349
2009-04-30,0.651335
2009-05-31,0.693227
2009-06-30,0.685872
2009-07-31,0.645722
2009-08-31,0.61811
2009-09-30,0.570982
2009-10-31,0.628298
2009-11-30,0.642624
2009-12-31,0.692242
2010-01-31,0.684631
2010-02-28,0.622725
2010-03-31,0.696685
2010-04-30,0.675733
2010-05-31,0.732772
2010-06-30,0.769017
2010-07-31,0.717649
2010-08-31,0.678088
2010-09-30,0.641121
2010-10-31,0.661381
2010-11-30,0.696046
2010-12-31,0.739158
2011-01-31,0.755956
2011-02-28,0.718491
2011-03-31,0.827278
2011-04-30,0.824689
2011-05-31,0.845788
2011-06-30,0.837531
2011-07-31,0.805792
2011-08-31,0.7558
2011-09-30,0.689653
2011-10-31,0.720149
2011-11-30,0.748063
2011-12-31,0.780498
2012-01-31,0.773864
2012-02-29,0.695961
2012-03-31,0.797646
2012-04-30,0.77099
2012-05-31,0.813258
2012-06-30,0.779742
2012-07-31,0.751249
2012-08-31,0.720652
2012-09-30,0.651381
2012-10-31,0.683696
2012-11-30,0.687807
2012-12-31,0.769914
2013-01-31,0.798274
2013-02-28,0.712257
2013-03-31,0.779697
2013-04-30,0.828707
2013-05-31,0.869796
2013-06-30,0.833767
2013-07-31,0.82578
2013-08-31,0.753265
2013-09-30,0.70818
2013-10-31,0.75134
2013-11-30,0.769765
2013-12-31,0.80671
2014-01-31,0.832071
2014-02-28,0.715293
2014-03-31,0.86744
2014-04-30,0.874973
2014-05-31,0.872186
2014-06-30,0.870396
2014-07-31,0.837457
2014-08-31,0.769384
2014-09-30,0.724546
2014-10-31,0.775083
2014-11-30,0.819811
2014-12-31,0.839005
2015-01-31,0.832216
2015-02-28,0.774095
2015-03-31,0.840618
2015-04-30,0.836982
2015-05-31,0.830355
2015-06-30,0.795456
2015-07-31,0.821508
2015-08-31,0.795294
2015-09-30,0.745604
2015-10-31,0.778142
2015-11-30,0.829956
2015-12-31,0.885702
2016-01-31,0.878466
2016-02-29,0.866911
2016-03-31,0.945574
2016-04-30,0.895645
2016-05-31,0.906373
2016-06-30,0.863121
2016-07-31,0.874581
2016-08-31,0.827092
2016-09-30,0.792546
2016-10-31,0.839768
2016-11-30,0.840573
2016-12-31,0.946715
2017-01-31,0.931662
2017-02-28,0.878646
2017-03-31,1.031122
2017-04-30,1.002382
2017-05-31,1.039891
2017-06-30,0.994362
2017-07-31,0.928982
2017-08-31,0.874484
2017-09-30,0.849394
2017-10-31,0.904788
2017-11-30,0.896119
2017-12-31,0.92767
2018-01-31,0.976929
2018-02-28,0.922932
2018-03-31,1.017194
2018-04-30,1.024178
2018-05-31,1.054663
2018-06-30,1.033802
2018-07-31,0.948984
2018-08-31,0.953714
2018-09-30,0.872342
2018-10-31,0.90945
2018-11-30,0.913361
2018-12-31,0.952043
2019-01-31,0.952661
2019-02-28,0.882918
2019-03-31,0.999795
2019-04-30,1.0397
2019-05-31,1.073754
2019-06-30,1.009869
2019-07-31,0.998272
2019-08-31,0.952554
2019-09-30,0.91247
2019-10-31,0.941536
2019-11-30,0.912051
2019-12-31,0.951898
2020-01-31,0.981404
2020-02-29,0.985297
2020-03-31,0.995239
2020-04-30,0.922997
2020-05-31,1.021471
2020-06-30,1.038836
2020-07-31,0.995034
2020-08-31,0.954931
2020-09-30,0.884571
2020-10-31,0.938501
2020-11-30,0.980632
2020-12-31,0.984504
2021-01-31,0.996592
2021-02-28,0.873844
2021-03-31,1.096067
2021-04-30,1.053848
2021-05-31,1.112084
2021-06-30,1.039772
2021-07-31,1.001086
2021-08-31,1.015449
2021-09-30,0.972447
2021-10-31,1.00656
2021-11-30,1.040253
2021-12-31,1.118251
2022-01-31,1.129142
2022-02-28,1.070709
2022-03-31,1.208051
2022-04-30,1.175706
2022-05-31,1.21879
2022-06-30,1.186711
2022-07-31,1.1324
2022-08-31,1.044026
2022-09-30,0.978647
2022-10-31,1.019209
2022-11-30,1.097519
